conversation_id,utterance_id,speaker,generation_strategy,position_idx,position_frac,curr_tok,prev_tok,curr_pos,prev_pos,curr_len,prev_len,is_punct,prev_is_punct,prev_lang,curr_lang,y_switch
0,0_0,Person1,inter-sentential,0,0.0,hey,,INTJ,NONE,3,0,0,0,NONE,en,0
0,0_0,Person1,inter-sentential,1,0.06666666666666667,maya,hey,PROPN,INTJ,4,3,0,0,en,en,0
0,0_0,Person1,inter-sentential,2,0.13333333333333333,i,maya,PRON,PROPN,1,4,0,0,en,en,0
0,0_0,Person1,inter-sentential,3,0.2,heard,i,VERB,PRON,5,1,0,0,en,en,0
0,0_0,Person1,inter-sentential,4,0.26666666666666666,you,heard,PRON,VERB,3,5,0,0,en,en,0
0,0_0,Person1,inter-sentential,5,0.3333333333333333,just,you,ADV,PRON,4,3,0,0,en,en,0
0,0_0,Person1,inter-sentential,6,0.4,started,just,VERB,ADV,7,4,0,0,en,en,0
0,0_0,Person1,inter-sentential,7,0.4666666666666667,at,started,ADP,VERB,2,7,0,0,en,en,0
0,0_0,Person1,inter-sentential,8,0.5333333333333333,northeastern,at,PROPN,ADP,12,2,0,0,en,en,0
0,0_0,Person1,inter-sentential,9,0.6,how,northeastern,SCONJ,PROPN,3,12,0,0,en,en,0
0,0_0,Person1,inter-sentential,10,0.6666666666666666,s,how,AUX,SCONJ,1,3,0,0,en,en,0
0,0_0,Person1,inter-sentential,11,0.7333333333333333,the,s,DET,AUX,3,1,0,0,en,en,0
0,0_0,Person1,inter-sentential,12,0.8,transition,the,NOUN,DET,10,3,0,0,en,en,0
0,0_0,Person1,inter-sentential,13,0.8666666666666667,been,transition,AUX,NOUN,4,10,0,0,en,en,0
0,0_0,Person1,inter-sentential,14,0.9333333333333333,so,been,ADV,AUX,2,4,0,0,en,en,0
0,0_0,Person1,inter-sentential,15,1.0,far,so,ADV,ADV,3,2,0,0,en,en,0
0,0_1,Person2,inter-sentential,0,0.0,hi,,INTJ,NONE,2,0,0,0,NONE,en,0
